Lot/Order ID,AM or PM,Browser Info,Company,Fabric Type,Material Composition,Color/Pattern,Quantity (Meters),Price per Meter,Credit Card,CC Exp Date,CC Security Code,CC Provider,Email,IP Address,Language,Purchase Price,Shipping Address
357 - 987204,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Classic Tailors Inc,Canvas,100% Heavy Cotton,Crimson Red,110.65,11.0,0052427868011280,06/30,665,Mastercard,purchasing@classictailorsinc.com,105.20.183.54,it,1217.15,"4188 Industrial Pkwy, Suite 351, Textile City, TX 75842"
462 - 918011,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",EcoWeave Fashion LLC,Linen Blend,55% Linen / 45% Cotton,Indigo Blue,1007.05,14.2,2602563421607337,06/28,940,Mastercard,purchasing@ecoweavefashionllc.com,114.168.142.222,en,14300.11,"4673 Industrial Pkwy, Suite 189, Textile City, TX 79173"
509 - 812526,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Stitch & Thread Co. Inc,Denim,100% Cotton,Olive Green,1392.08,12.5,2940196556981693,05/26,825,Discover,purchasing@stitchandthreadco.inc.com,149.100.186.111,en,17401.0,"5509 Industrial Pkwy, Suite 329, Textile City, TX 77571"
779 - 989208,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Elite Fabrics Inc,Velvet,100% Rayon,Black,999.32,22.0,6564823662994680,05/28,315,Discover,purchasing@elitefabricsinc.com,131.226.226.173,de,21985.04,"8475 Industrial Pkwy, Suite 252, Textile City, TX 76390"
774 - 188914,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Stitch & Thread Co. LLC,Silk Satin,100% Mulberry Silk,Blush Pink,367.32,45.0,4332003791769367,07/27,251,Visa,purchasing@stitchandthreadco.llc.com,217.237.25.143,de,16529.4,"2088 Industrial Pkwy, Suite 243, Textile City, TX 76092"
920 - 587213,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Nordic Loom Partners,Organic Cotton,100% Organic Cotton,Crimson Red,385.33,8.75,8727743487347143,05/28,427,Visa,purchasing@nordicloompartners.com,189.78.109.17,es,3371.64,"6778 Industrial Pkwy, Suite 179, Textile City, TX 79445"
577 - 535970,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Classic Tailors Partners,Canvas,100% Heavy Cotton,Mustard Yellow,1019.87,11.0,9096705466889373,05/29,597,Visa,purchasing@classictailorspartners.com,216.207.84.216,es,11218.57,"2191 Industrial Pkwy, Suite 328, Textile City, TX 79375"
127 - 513160,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Classic Tailors LLC,Polyester Taffeta,100% Polyester,Emerald Green,992.71,4.5,7204653755646417,01/31,652,Visa,purchasing@classictailorsllc.com,211.20.15.244,de,4467.19,"3366 Industrial Pkwy, Suite 439, Textile City, TX 75166"
736 - 259784,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Modern Textures Group,Silk Satin,100% Mulberry Silk,Black,1051.39,45.0,9374529912419049,11/29,506,Mastercard,purchasing@moderntexturesgroup.com,172.124.52.179,fr,47312.55,"9937 Industrial Pkwy, Suite 422, Textile City, TX 75991"
915 - 693423,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Elite Fabrics Partners,Chiffon,100% Polyester,Blush Pink,1247.32,6.25,5185067165726284,10/32,651,Discover,purchasing@elitefabricspartners.com,163.137.165.219,de,7795.75,"1519 Industrial Pkwy, Suite 152, Textile City, TX 78692"
349 - 886931,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. Group,Jacquard,70% Cotton / 30% Silk,Emerald Green,1051.38,28.5,7527354549480831,04/31,516,Discover,purchasing@urbanoutfittersinc.group.com,177.251.229.203,en,29964.33,"1624 Industrial Pkwy, Suite 160, Textile City, TX 76815"
514 - 825391,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Nordic Loom Inc,Linen Blend,55% Linen / 45% Cotton,Emerald Green,1120.98,14.2,7885685574443135,02/31,648,Mastercard,purchasing@nordicloominc.com,82.144.51.214,de,15917.92,"4953 Industrial Pkwy, Suite 126, Textile City, TX 77956"
283 - 416950,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments Group,Canvas,100% Heavy Cotton,Navy Blue,157.42,11.0,0842710947775204,08/26,941,Visa,purchasing@luxegarmentsgroup.com,173.27.77.39,zh,1731.62,"5078 Industrial Pkwy, Suite 53, Textile City, TX 77033"
221 - 685181,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Elite Fabrics Partners,Organic Cotton,100% Organic Cotton,Indigo Blue,642.35,8.75,7749649909133412,04/27,665,Visa,purchasing@elitefabricspartners.com,188.240.149.9,de,5620.56,"4820 Industrial Pkwy, Suite 371, Textile City, TX 77316"
819 - 576086,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments LLC,Merino Wool,100% Merino Wool,Olive Green,832.97,35.0,6183242102499471,08/31,411,Discover,purchasing@luxegarmentsllc.com,124.41.20.228,es,29153.95,"5380 Industrial Pkwy, Suite 319, Textile City, TX 77051"
126 - 195763,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Luxe Garments Group,Merino Wool,100% Merino Wool,Blush Pink,1229.67,35.0,2787429671756551,03/28,521,Discover,purchasing@luxegarmentsgroup.com,152.18.232.23,fr,43038.45,"4235 Industrial Pkwy, Suite 175, Textile City, TX 75949"
891 - 523808,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Classic Tailors Group,Organic Cotton,100% Organic Cotton,Charcoal Grey,848.72,8.75,3859770348247710,11/30,918,Mastercard,purchasing@classictailorsgroup.com,153.208.47.58,en,7426.3,"7660 Industrial Pkwy, Suite 494, Textile City, TX 75962"
763 - 972565,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Luxe Garments Inc,Merino Wool,100% Merino Wool,Charcoal Grey,1264.34,35.0,6773782639821465,09/28,940,Visa,purchasing@luxegarmentsinc.com,160.250.76.115,zh,44251.9,"8035 Industrial Pkwy, Suite 186, Textile City, TX 77723"
665 - 899929,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. LLC,Silk Satin,100% Mulberry Silk,Olive Green,1370.14,45.0,3963605766270289,06/32,202,Discover,purchasing@urbanoutfittersinc.llc.com,15.73.209.223,it,61656.3,"2629 Industrial Pkwy, Suite 48, Textile City, TX 78846"
900 - 377896,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Stitch & Thread Co. Inc,Denim,100% Cotton,Mustard Yellow,1204.41,12.5,8657809134316117,03/31,406,Visa,purchasing@stitchandthreadco.inc.com,87.183.191.111,de,15055.13,"4100 Industrial Pkwy, Suite 281, Textile City, TX 78375"
679 - 814919,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Vogue Trends Ltd Group,Velvet,100% Rayon,Charcoal Grey,976.46,22.0,9693792374740748,03/26,552,American Express,purchasing@voguetrendsltdgroup.com,120.128.233.217,fr,21482.12,"3363 Industrial Pkwy, Suite 206, Textile City, TX 78958"
209 - 348728,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Nordic Loom Inc,Silk Satin,100% Mulberry Silk,Indigo Blue,497.95,45.0,4064090974395339,05/31,873,Mastercard,purchasing@nordicloominc.com,124.17.186.188,de,22407.75,"1576 Industrial Pkwy, Suite 475, Textile City, TX 77417"
434 - 883790,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",EcoWeave Fashion LLC,Denim,100% Cotton,Charcoal Grey,828.03,12.5,8588424745171236,09/28,192,Discover,purchasing@ecoweavefashionllc.com,128.188.134.150,es,10350.38,"6186 Industrial Pkwy, Suite 65, Textile City, TX 76915"
582 - 126240,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Stitch & Thread Co. Partners,Velvet,100% Rayon,Crimson Red,1333.85,22.0,4612004711382675,11/31,813,Discover,purchasing@stitchandthreadco.partners.com,179.50.250.158,es,29344.7,"4683 Industrial Pkwy, Suite 26, Textile City, TX 78035"
322 - 564920,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Urban Outfitters Inc. Group,Silk Satin,100% Mulberry Silk,Olive Green,350.38,45.0,5850643171390053,03/32,678,Mastercard,purchasing@urbanoutfittersinc.group.com,67.119.168.199,de,15767.1,"9864 Industrial Pkwy, Suite 11, Textile City, TX 77271"
979 - 251716,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd Group,Jacquard,70% Cotton / 30% Silk,Black,208.13,28.5,0205395024026811,08/29,896,American Express,purchasing@voguetrendsltdgroup.com,140.113.22.187,it,5931.7,"8643 Industrial Pkwy, Suite 164, Textile City, TX 78752"
758 - 132663,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Classic Tailors Partners,Jacquard,70% Cotton / 30% Silk,Black,673.79,28.5,1771159212499856,10/30,401,Discover,purchasing@classictailorspartners.com,215.58.110.111,es,19203.01,"3843 Industrial Pkwy, Suite 221, Textile City, TX 77776"
947 - 575528,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Stitch & Thread Co. Inc,Silk Satin,100% Mulberry Silk,Blush Pink,562.72,45.0,6545271111615280,10/30,675,American Express,purchasing@stitchandthreadco.inc.com,182.216.26.248,fr,25322.4,"9937 Industrial Pkwy, Suite 169, Textile City, TX 77880"
206 - 705991,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Modern Textures LLC,Polyester Taffeta,100% Polyester,Mustard Yellow,58.85,4.5,1585149368998094,01/27,379,American Express,purchasing@moderntexturesllc.com,234.73.205.18,de,264.82,"602 Industrial Pkwy, Suite 56, Textile City, TX 79345"
320 - 494468,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. LLC,Linen Blend,55% Linen / 45% Cotton,Olive Green,215.04,14.2,5459910229014767,10/29,524,American Express,purchasing@urbanoutfittersinc.llc.com,122.56.145.174,it,3053.57,"9817 Industrial Pkwy, Suite 259, Textile City, TX 79316"
783 - 423401,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Classic Tailors Group,Silk Satin,100% Mulberry Silk,Blush Pink,1299.56,45.0,0343244510762268,12/27,612,American Express,purchasing@classictailorsgroup.com,22.223.9.118,en,58480.2,"5229 Industrial Pkwy, Suite 304, Textile City, TX 78516"
687 - 524068,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Stitch & Thread Co. Partners,Polyester Taffeta,100% Polyester,Crimson Red,160.75,4.5,0529751613696816,05/31,447,Mastercard,purchasing@stitchandthreadco.partners.com,174.58.99.232,fr,723.38,"5852 Industrial Pkwy, Suite 382, Textile City, TX 76209"
341 - 207798,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion LLC,Merino Wool,100% Merino Wool,Black,131.45,35.0,9212779979955271,08/29,746,American Express,purchasing@ecoweavefashionllc.com,141.37.158.119,es,4600.75,"716 Industrial Pkwy, Suite 39, Textile City, TX 78020"
951 - 401022,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Nordic Loom Partners,Denim,100% Cotton,Emerald Green,1076.05,12.5,7980793597820715,12/26,616,Mastercard,purchasing@nordicloompartners.com,124.81.186.96,fr,13450.62,"6447 Industrial Pkwy, Suite 219, Textile City, TX 77771"
795 - 726928,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Stitch & Thread Co. Inc,Polyester Taffeta,100% Polyester,Crimson Red,1021.67,4.5,1864492519254629,12/26,417,Discover,purchasing@stitchandthreadco.inc.com,224.47.216.131,fr,4597.51,"398 Industrial Pkwy, Suite 195, Textile City, TX 77530"
284 - 324597,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",EcoWeave Fashion LLC,Chiffon,100% Polyester,Indigo Blue,645.74,6.25,2214188805929622,03/32,809,Mastercard,purchasing@ecoweavefashionllc.com,185.121.227.157,fr,4035.88,"7455 Industrial Pkwy, Suite 129, Textile City, TX 79374"
344 - 424500,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Urban Outfitters Inc. Partners,Merino Wool,100% Merino Wool,Off-White,1156.52,35.0,7468862392407581,12/32,628,Visa,purchasing@urbanoutfittersinc.partners.com,81.230.75.213,es,40478.2,"1602 Industrial Pkwy, Suite 494, Textile City, TX 76818"
936 - 573041,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Classic Tailors Group,Chiffon,100% Polyester,Navy Blue,942.25,6.25,6853615305152204,08/31,951,Mastercard,purchasing@classictailorsgroup.com,32.9.131.56,de,5889.06,"9091 Industrial Pkwy, Suite 491, Textile City, TX 79987"
640 - 543814,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion Inc,Linen Blend,55% Linen / 45% Cotton,Black,654.02,14.2,1036971179808932,05/29,101,American Express,purchasing@ecoweavefashioninc.com,182.43.184.18,zh,9287.08,"9014 Industrial Pkwy, Suite 269, Textile City, TX 79158"
667 - 121322,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Global Apparel Corp Partners,Organic Cotton,100% Organic Cotton,Crimson Red,141.5,8.75,5405153195205852,11/29,812,Discover,purchasing@globalapparelcorppartners.com,210.234.18.76,de,1238.12,"817 Industrial Pkwy, Suite 415, Textile City, TX 76634"
142 - 430926,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Elite Fabrics Partners,Jacquard,70% Cotton / 30% Silk,Charcoal Grey,1211.66,28.5,4034505415667652,08/31,609,American Express,purchasing@elitefabricspartners.com,198.217.40.111,zh,34532.31,"3056 Industrial Pkwy, Suite 289, Textile City, TX 77406"
428 - 207581,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Luxe Garments Inc,Denim,100% Cotton,Crimson Red,1280.57,12.5,7962757059640165,09/32,867,Mastercard,purchasing@luxegarmentsinc.com,185.224.17.33,en,16007.12,"3966 Industrial Pkwy, Suite 408, Textile City, TX 78000"
470 - 501451,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Modern Textures Inc,Merino Wool,100% Merino Wool,Navy Blue,361.13,35.0,5719285654310278,07/30,220,American Express,purchasing@moderntexturesinc.com,168.146.251.52,en,12639.55,"2323 Industrial Pkwy, Suite 446, Textile City, TX 75606"
562 - 281043,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Urban Outfitters Inc. Inc,Chiffon,100% Polyester,Olive Green,238.17,6.25,1884422583132370,06/30,686,American Express,purchasing@urbanoutfittersinc.inc.com,238.44.33.80,es,1488.56,"7942 Industrial Pkwy, Suite 279, Textile City, TX 78365"
887 - 529322,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Urban Outfitters Inc. Group,Polyester Taffeta,100% Polyester,Olive Green,1347.64,4.5,7785289226801824,03/27,430,Mastercard,purchasing@urbanoutfittersinc.group.com,228.40.128.51,it,6064.38,"9124 Industrial Pkwy, Suite 150, Textile City, TX 76025"
740 - 417534,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Nordic Loom LLC,Merino Wool,100% Merino Wool,Navy Blue,405.07,35.0,2995900109439690,08/31,658,American Express,purchasing@nordicloomllc.com,218.207.152.117,en,14177.45,"1081 Industrial Pkwy, Suite 90, Textile City, TX 78601"
525 - 607774,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Urban Outfitters Inc. LLC,Canvas,100% Heavy Cotton,Black,656.3,11.0,5556258815371473,03/26,151,American Express,purchasing@urbanoutfittersinc.llc.com,233.81.167.240,zh,7219.3,"5223 Industrial Pkwy, Suite 107, Textile City, TX 76305"
610 - 639728,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Luxe Garments Partners,Canvas,100% Heavy Cotton,Crimson Red,1329.56,11.0,0168733950047974,09/26,967,Visa,purchasing@luxegarmentspartners.com,198.187.206.94,en,14625.16,"6663 Industrial Pkwy, Suite 36, Textile City, TX 79671"
675 - 304110,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Stitch & Thread Co. Partners,Denim,100% Cotton,Indigo Blue,248.7,12.5,8784991216558523,10/30,511,Visa,purchasing@stitchandthreadco.partners.com,97.242.233.39,zh,3108.75,"8546 Industrial Pkwy, Suite 81, Textile City, TX 77686"
727 - 434002,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Nordic Loom Inc,Velvet,100% Rayon,Navy Blue,435.02,22.0,9588879470551694,12/32,804,Visa,purchasing@nordicloominc.com,179.116.26.150,es,9570.44,"2893 Industrial Pkwy, Suite 278, Textile City, TX 78114"
251 - 961574,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Nordic Loom Group,Jacquard,70% Cotton / 30% Silk,Blush Pink,504.94,28.5,3075626368970283,09/28,778,Discover,purchasing@nordicloomgroup.com,56.235.175.140,fr,14390.79,"4431 Industrial Pkwy, Suite 322, Textile City, TX 78966"
296 - 358494,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion Inc,Polyester Taffeta,100% Polyester,Navy Blue,1001.16,4.5,4375758441986652,05/26,394,Visa,purchasing@ecoweavefashioninc.com,203.245.109.52,zh,4505.22,"4542 Industrial Pkwy, Suite 487, Textile City, TX 79604"
812 - 384815,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Nordic Loom LLC,Merino Wool,100% Merino Wool,Mustard Yellow,463.85,35.0,3083301657120826,11/29,588,Mastercard,purchasing@nordicloomllc.com,27.45.118.137,it,16234.75,"711 Industrial Pkwy, Suite 477, Textile City, TX 76434"
527 - 978292,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Classic Tailors Partners,Polyester Taffeta,100% Polyester,Crimson Red,1110.12,4.5,2400499154788728,08/28,297,Visa,purchasing@classictailorspartners.com,177.131.95.4,it,4995.54,"5623 Industrial Pkwy, Suite 414, Textile City, TX 77416"
681 - 807160,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Nordic Loom Partners,Merino Wool,100% Merino Wool,Mustard Yellow,1054.51,35.0,6851612275304637,05/28,409,Visa,purchasing@nordicloompartners.com,27.60.238.79,de,36907.85,"6742 Industrial Pkwy, Suite 361, Textile City, TX 79116"
